Age,Word,C_freq,ld,dd,pkc
17,bead,13,0.036000000, 0.001474616,0.087362637
18,bead,19,0.048000000, 0.001895934,0.185666326
19,bead,20,0.052000000, 0.002106594,0.221279544
20,bead,22,0.056000000, 0.002317253,0.247331875
21,bead,33,0.074000000, 0.002949231,0.234918840
22,bead,38,0.076000000, 0.003159890,0.312500000
23,bead,43,0.080000000, 0.003370550,0.363098733
24,bead,51,0.104000000, 0.004634506,0.422139976
25,bead,52,0.106000000, 0.004845165,0.474604464
26,bead,55,0.110000000, 0.005477143,0.535176515
27,bead,55,0.110000000, 0.005477143,0.557794684
28,bead,89,0.128000000, 0.008005056,0.722617650
29,bead,91,0.128000000, 0.008426375,0.658453908
30,bead,94,0.136000000, 0.008637034,0.765001101
16,bean,102,0.144000000, 0.003581209,0.073288703
17,bean,104,0.144000000, 0.003791869,0.083855056
18,bean,106,0.148000000, 0.004213187,0.144426642
19,bean,108,0.154000000, 0.004634506,0.191435686
20,bean,113,0.160000000, 0.005687803,0.215392866
21,bean,116,0.162000000, 0.006319781,0.252530721
22,bean,122,0.168000000, 0.007162418,0.349187279
23,bean,125,0.170000000, 0.007373078,0.402348187
24,bean,151,0.206000000, 0.011164946,0.443291026
25,bean,158,0.212000000, 0.012007584,0.488491879
26,bean,165,0.218000000, 0.012639562,0.569722927
27,bean,187,0.240000000, 0.013692859,0.592968153
28,bean,196,0.252000000, 0.014746155,0.711789256
29,bean,233,0.272000000, 0.015588793,0.650775579
30,bean,237,0.272000000, 0.016220771,0.765940581
16,bear,1093,0.494000000, 0.058352644,0.105335719
17,bear,1277,0.522000000, 0.063408469,0.124088262
18,bear,1454,0.542000000, 0.075205393,0.190327856
19,bear,1588,0.568000000, 0.082367811,0.237351430
20,bear,1836,0.596000000, 0.092268801,0.254746591
21,bear,2003,0.608000000, 0.099220560,0.283201758
22,bear,2160,0.628000000, 0.104697704,0.387409166
23,bear,2301,0.656000000, 0.111649463,0.438548693
24,bear,2606,0.680000000, 0.128712871,0.477988857
25,bear,2748,0.696000000, 0.133979355,0.527216763
26,bear,2869,0.700000000, 0.140088477,0.596419805
27,bear,3240,0.734000000, 0.147461555,0.617826726
28,bear,3486,0.738000000, 0.153570676,0.734779737
29,bear,3850,0.756000000, 0.163261007,0.679027432
30,bear,4020,0.764000000, 0.172530019,0.782136722
16,because,1630,0.554000000, 0.092900779,0.045681486
17,because,1677,0.562000000, 0.097956604,0.052274583
18,because,1939,0.588000000, 0.113756056,0.088144144
19,because,2025,0.602000000, 0.120286497,0.124064644
20,because,2140,0.610000000, 0.128291553,0.140338051
21,because,2302,0.634000000, 0.136717927,0.165079724
22,because,2456,0.652000000, 0.146618917,0.262708887
23,because,2639,0.666000000, 0.156098589,0.306227107
24,because,3230,0.692000000, 0.187486834,0.348775310
25,because,3506,0.718000000, 0.199705077,0.401752555
26,because,3800,0.740000000, 0.211502001,0.483772596
27,because,4055,0.756000000, 0.223509585,0.513120508
28,because,4418,0.772000000, 0.243522225,0.636147053
29,because,5006,0.798000000, 0.264588161,0.597364656
30,because,5459,0.816000000, 0.288813988,0.705863721
16,bed,331,0.314000000, 0.028649673,0.063722441
17,bed,383,0.348000000, 0.032441542,0.079080617
18,bed,474,0.372000000, 0.037918685,0.135877007
19,bed,524,0.414000000, 0.043395829,0.180280587
20,bed,666,0.458000000, 0.052243522,0.210474754
21,bed,800,0.494000000, 0.060459237,0.238292839
22,bed,937,0.522000000, 0.067832315,0.345073278
23,bed,1067,0.548000000, 0.076258690,0.394536746
24,bed,1264,0.580000000, 0.088898252,0.439812658
25,bed,1400,0.594000000, 0.097745945,0.490195719
26,bed,1552,0.612000000, 0.106593638,0.559982588
27,bed,1720,0.630000000, 0.114598694,0.590051704
28,bed,2022,0.662000000, 0.128712871,0.710704161
29,bed,2261,0.688000000, 0.142405730,0.658262091
30,bed,2490,0.708000000, 0.152306720,0.763804977
16,bee,628,0.398000000, 0.041289235,0.065621128
17,bee,644,0.406000000, 0.042763851,0.079028622
18,bee,767,0.428000000, 0.052664841,0.133802319
19,bee,831,0.448000000, 0.055192753,0.184122315
20,bee,864,0.454000000, 0.057088688,0.214263302
